,Measures,Single operand,Numerator,Denominator
499,total food consumed by weight and food source within a household,['total food consumed by weight and food source within a household'],,
500,total output per cropped area _tonsha_,['total output per cropped area _tonsha_'],,
501,number of cooking apple trees,,,
502,number of cooking pear trees,,,
503,number of forest fires,,,
504,number of forest increment and fellings,,,
505,number of forest trees damaged by defoliation,,,
506,number of lemon trees,,,
507,number of orange trees,,,
508,number of peach trees,,,
509,number of removals,,,
510,number of removals by ownership,,,
511,number of removals by roundwood assortment,,,
512,number of trades for major forest industry products,,,
513,percent decrease in subdivision and development of wooded area,,,
514,percent increase in forest resources,,,
515,percent increase in roundwood production,,,
516,percent increase in sawnwood production,,,
517,percent increase in trade of roundwood,,,
518,percentage of forest damage _ defoliation,,['forest damage'],"[""Total number of ['forest', 'damage', '_', 'defoliation']""]"
519,percentage of land used,,['land used'],['Total number of land']
520,percentage of secondary paper products,,['secondary paper'],"[""Total number of ['secondary', 'paper', 'products']""]"
521,forest area per region _percentage of land area_,,['region _percentage land area'],['_percentage land area']
522,forest area per region _sq.kmper capita_,,,
523,gross value added of the forestry industry,['total value added of the forestry industry'],,
524,total apple trees area ,['total apple trees area '],,
525,total area of apricot trees _area in hectares_,['total area of apricot trees _area in hectares_'],,
526,total forestry values at constant prices,['total forestry values at constant prices'],,
527,total lemon trees area ,['total lemon trees area '],,
528,total orange trees area ,['total orange trees area '],,
529,total paper and paperboard production,['total paper and paperboard production'],,
530,total peach trees area ,['total peach trees area '],,
531,total production of roundwood and fuelwood,['total production of roundwood and fuelwood'],,
532,total production of sawnwood and wood based panels,['total production of sawnwood and wood based panels'],,
533,total production of wood pulp and paper and paperboard,['total production of wood pulp and paper and paperboard'],,
534,total secondary wood products  tonnes,['total secondary wood products  tonnes'],,
535,total subdivision and development of wooded area,['total subdivision and development of wooded area'],,
536,total trade value for roundwood and fuelwood,['total trade value for roundwood and fuelwood'],,
537,total trade value for sawnwood and wood based panels,['total trade value for sawnwood and wood based panels'],,
538,total trade value for wood pulp and paper and paperboard,['total trade value for wood pulp and paper and paperboard'],,
539,total value of secondary processed wood and paper products,['total value of secondary processed wood and paper products'],,
540,number of bills transmitted from agricultural interdiction stations,,,
541,number of vehicles inspected at agricultural interdiction stations,,,
542,number of vehicles inspected at agricultural interdiction stations transporting agricultural commodities,,,
543,percentage of vehicles carrying agricultural related products that are inspected,,['vehicles carrying'],['Total number of vehicles']
544,amount of revenue generated by agricultural interdiction stations,,,
545,number of borders using the system,,,
546,number of completed risk analysis and benchmark studies,,,
547,number of comprehensive training programs across the sector,,,
548,number of developed and issued bylaws and regulations,,,
549,number of law enforcement investigations initiated,,,
550,number of monitored members of farmersâ€™ association,,,
551,number of new food standards published,,,
552,number of policies enacted for sustainable fishery catch,,,
553,number of refrigerated food inspection centers,,,
554,number of research and development to identify and implement the latest agriculture practices,,,
555,number of research published,,,
556,number of seizures of undeclared risk items at the border,,,
557,number of studies  surveys conducted,,,
