,Measures,Single_operand,Numerator,Denominator
351,average costs per project,,[' costs per project '],[' project ']
352,average costs per project task,,[' costs per project task '],[' project task ']
353,average costs to produce financial statements,,[' costs to produce financial statements '],[' produce financial statements ']
354,average country oil production,,[' country oil production '],['average country oil production ']
355,average course experience,,[' course experience '],['average course experience ']
356,average course grade of individual students,,[' course grade of individual students '],[' individual students ']
357,average creditor days,,[' creditor days '],['average creditor days ']
358,average crude oil price,,[' crude oil price '],['average crude oil price ']
359,average ctc per commercial officer against plan _budget _ 4 lakhs,,[' ctc per commercial officer against plan _budget _ 4 lakhs '],[' commercial officer against plan _budget _ 4 lakhs ']
360,average ctc per it officer against plan _budget_ 7 lakhs,,[' ctc per it officer against plan _budget_ 7 lakhs '],[' it officer against plan _budget_ 7 lakhs ']
361,average customer acquisitions costs,,[' customer acquisitions costs '],['average customer acquisitions costs ']
362,average customer feedback rating,,[' customer feedback rating '],['average customer feedback rating ']
363,average customer interaction costs,,[' customer interaction costs '],['average customer interaction costs ']
364,average customer interruptions ci by customer category during period,,[' customer interruptions ci by customer category during period '],['average customer interruptions ci by customer category during period ']
365,average customer loyalty feedback,,[' customer loyalty feedback '],['average customer loyalty feedback ']
366,average customer minutes lost cml by customer category during period,,[' customer minutes lost cml by customer category during period '],['average customer minutes lost cml by customer category during period ']
367,average customer order entry time,,[' customer order entry time '],['average customer order entry time ']
368,average customer order promised cycle time,,[' customer order promised cycle time '],['average customer order promised cycle time ']
369,average customer receivable,,[' customer receivable '],['average customer receivable ']
370,average customer recency,,[' customer recency '],['average customer recency ']
371,average customer size,,[' customer size '],['average customer size ']
372,average customer spend per month,,[' customer spend per month '],[' month ']
373,average customer time spent before purchase,,[' customer time spent before purchase '],['average customer time spent before purchase ']
374,average customers per branch,,[' customers per branch '],[' branch ']
375,average cycle distance,,[' cycle distance '],['average cycle distance ']
376,average cycle time,,[' cycle time '],['average cycle time ']
377,average cycle time act,,[' cycle time act '],['average cycle time act ']
378,average cycle time _act,,[' cycle time _act '],['average cycle time _act ']
379,average cycle time between urgent releases,,[' cycle time between urgent releases '],['average cycle time between urgent releases ']
380,average cycle time for injectables,,[' cycle time for injectables '],['average cycle time for injectables ']
